"","PathwayName","EnsemblId"
"1","4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression","ENSG00000079277"
"2","4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression","ENSG00000151247"
"3","4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression","ENSG00000108984"
"4","4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression","ENSG00000132155"
"5","4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression","ENSG00000173327"
"6","4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression","ENSG00000126934"
"7","4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression","ENSG00000142208"
"8","4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression","ENSG00000197442"
"9","4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression","ENSG00000187840"
"10","4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression","ENSG00000169032"
"11","4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression","ENSG00000168078"
"12","4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression","ENSG00000099875"
"13","4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression","ENSG00000100030"
"14","4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression","ENSG00000165699"
"15","4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression","ENSG00000102882"
"16","4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression","ENSG00000034152"
"17","4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression","ENSG00000198793"
"18","4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression","ENSG00000187840"
"21","ACE Inhibitor Pathway","ENSG00000179142"
"23","ACE Inhibitor Pathway","ENSG00000144891"
"28","ACE Inhibitor Pathway","ENSG00000105329"
"29","ACE Inhibitor Pathway","ENSG00000092009"
"32","ACE Inhibitor Pathway","ENSG00000151623"
"34","ACE Inhibitor Pathway","ENSG00000164867"
"39","Acetylcholine Synthesis","ENSG00000131828"
"41","Acetylcholine Synthesis","ENSG00000133027"
"42","Acetylcholine Synthesis","ENSG00000161217"
"43","Acetylcholine Synthesis","ENSG00000110721"
"44","Acetylcholine Synthesis","ENSG00000087085"
"45","Acetylcholine Synthesis","ENSG00000070748"
"46","Adipogenesis","ENSG00000017427"
"48","Adipogenesis","ENSG00000112033"
"49","Adipogenesis","ENSG00000118260"
"50","Adipogenesis","ENSG00000185155"
"53","Adipogenesis","ENSG00000169884"
"54","Adipogenesis","ENSG00000126561"
"55","Adipogenesis","ENSG00000173757"
"56","Adipogenesis","ENSG00000185559"
"57","Adipogenesis","ENSG00000113580"
"58","Adipogenesis","ENSG00000175197"
"59","Adipogenesis","ENSG00000128342"
"60","Adipogenesis","ENSG00000172216"
"61","Adipogenesis","ENSG00000095596"
"62","Adipogenesis","ENSG00000003137"
"63","Adipogenesis","ENSG00000186350"
"64","Adipogenesis","ENSG00000131759"
"65","Adipogenesis","ENSG00000025434"
"66","Adipogenesis","ENSG00000175445"
"67","Adipogenesis","ENSG00000072310"
"68","Adipogenesis","ENSG00000026103"
"70","Adipogenesis","ENSG00000107485"
"71","Adipogenesis","ENSG00000179348"
"72","Adipogenesis","ENSG00000132170"
"73","Adipogenesis","ENSG00000068305"
"74","Adipogenesis","ENSG00000064489"
"75","Adipogenesis","ENSG00000081189"
"76","Adipogenesis","ENSG00000116604"
"78","Adipogenesis","ENSG00000232810"
"80","Adipogenesis","ENSG00000105329"
"81","Adipogenesis","ENSG00000106366"
"82","Adipogenesis","ENSG00000181856"
"83","Adipogenesis","ENSG00000099194"
"84","Adipogenesis","ENSG00000122691"
"85","Adipogenesis","ENSG00000174697"
"89","Adipogenesis","ENSG00000139687"
"90","Adipogenesis","ENSG00000103479"
"91","Adipogenesis","ENSG00000181092"
"94","Adipogenesis","ENSG00000124762"
"95","Adipogenesis","ENSG00000101412"
"96","Adipogenesis","ENSG00000185591"
"97","Adipogenesis","ENSG00000137309"
"98","Adipogenesis","ENSG00000166819"
"99","Adipogenesis","ENSG00000136244"
"100","Adipogenesis","ENSG00000116717"
"101","Adipogenesis","ENSG00000099860"
"102","Adipogenesis","ENSG00000221869"
"103","Adipogenesis","ENSG00000168487"
"104","Adipogenesis","ENSG00000125845"
"106","Adipogenesis","ENSG00000125378"
"108","Adipogenesis","ENSG00000150907"
"109","Adipogenesis","ENSG00000102554"
